name,percent above average edits,number obs,DF (N-2),nucleotide pearson correlation,nucleotide t value,amino acid pearson correlation,amino acid t value

Pl_atpA_trimmed,76.08,1357,1355,-0.697549,35.834823,-0.759085,42.922519
Pl_atpB_trimmed,78.94,1529,1527,-0.717227,40.220150,-0.774630,47.864380
Pl_petB_trimmed,69.69,237,235,-0.775002,18.799598,-0.812032,21.329585
Pl_petD_trimmed,76.49,413,411,-0.647467,17.223869,-0.448325,10.168080
Pl_psaA_trimmed,64.65,2055,2053,-0.260428,12.221723,-0.364285,17.723588
Pl_psaB_trimmed,76.02,2019,2017,-0.544521,29.156584,-0.645459,37.952928
Pl_psbA_trimmed,81.27,979,977,-0.477567,16.989989,-0.638502,25.931792
Pl_psbB_trimmed,65.64,1392,1390,-0.321734,12.668719,-0.381499,15.387029
Pl_psbC_trimmed,72.77,1315,1313,-0.312777,11.932246,-0.218353,8.107756
Pl_psbD_trimmed,73.40,1069,1067,-0.554410,21.760188,-0.552258,21.638583
Pl_psbE_trimmed,100.00,174,172,-0.297253,4.082994,-0.187981,2.510097
