name,percent above average edits,number obs,DF (N-2),nucleotide pearson correlation,nucleotide t value,amino acid pearson correlation,amino acid t value
,,,,,,,
Km_atpA_trimmed,53.56,687,685,-0.139623,3.690437,-0.4603,13.570293
Km_atpB_trimmed,89.01,664,662,-0.212755,5.602302,-0.543785,16.671609
Km_clpC_trimmed,90.87,701,699,-0.211537,5.722228,-0.288294,7.960074
Km_psaA_trimmed,62.93,592,590,-0.552812,16.113821,-0.511392,14.454784
Km_psbA_trimmed,100,610,608,-0.227571,5.762568,-0.454605,12.585131
Km_psbC_trimmed,83.82,1371,1369,-0.660683,32.564803,-0.793023,48.16519
Km_psbD_trimmed,100,304,302,-0.246201,4.414397,-0.091381,1.594711
Km_psbE_trimmed,100,31,29,0,0,0,0
Km_rpl16_trimmed,100,232,230,0.001258,0.019076,0.055568,0.844027
Km_rpl2_trimmed,81.78,631,629,-0.210777,5.407744,-0.366586,9.881877
Km_rpoC1_trimmed,72.16,858,856,-0.467517,15.473537,-0.353921,11.071432
Km_rps11_trimmed,79.41,393,391,-0.435024,9.553374,-0.14407,2.87884
Km_rps13_trimmed,60,127,125,-0.359634,4.309136,0.505298,6.546659
Km_rps19_trimmed,0,58,56,0,0,0,0
Km_rps3_trimmed,68.2,538,536,-0.023983,0.555399,0.57922,16.450403
Km_rps7_trimmed,77.56,577,575,-0.446302,11.959058,-0.524406,14.768397
Km_secA_trimmed,77.84,961,959,0.192479,6.074206,-0.152859,4.789981
Km_secY_trimmed,81.82,834,832,0.117455,3.411532,-0.013479,0.388821
Km_ycf4_trimmed,100,217,215,-0.009182,0.134634,0.543367,9.490617
