gene,GC before,GC after,nucleotide length,amino acid length,number edits,percent edits,first position edits,second position edits,third position edits,percent edits in first two positions,percent non-synonymous edits,number amino acid edits,percent amino acid edits,average edit score,fraction polyT before,fraction polyT after,fraction 70 percent polyT before,fraction 70 percent polyT after,

atpA,37.55,42.60,791,263,67.0,8.47,28,31,8,88.06,89.55,54,20.53,0.52,2.29,1.15,0.51,0.51
atpB,37.29,40.54,708,236,32.0,4.52,17,12,3,90.62,87.50,26,11.02,0.81,2.56,2.71,1.72,1.00
cbbx,37.37,45.67,900,300,114.0,12.67,51,48,15,86.84,92.11,96,32.00,0.18,6.26,2.35,4.49,1.80
chlI,37.82,39.73,735,245,17.0,2.31,7,7,3,82.35,100.00,16,6.53,0.12,3.84,3.84,0.55,0.55
clpC,35.79,38.71,651,217,24.0,3.69,11,13,0,100.00,100.00,23,10.60,0.21,3.41,2.17,0.93,0.93
dnaK5,40.51,43.80,274,91,11.0,4.01,9,1,1,90.91,90.91,10,10.99,0.91,4.85,4.85,1.13,1.13
psaA,39.51,43.74,648,216,37.0,5.71,14,18,5,86.49,89.19,31,14.35,0.38,5.14,4.52,0.31,0.31
psbA,41.65,43.91,665,221,22.0,3.31,3,0,19,13.64,4.55,1,0.45,5.32,8.19,4.40,1.98,0.00
psbC,42.15,44.72,1440,480,57.0,3.96,23,18,16,71.93,71.93,37,7.71,1.46,5.16,2.79,2.80,1.47
psbD,42.50,43.89,360,120,11.0,3.06,2,0,9,18.18,9.09,1,0.83,5.45,7.34,1.13,0.85,0.00
psbE,45.35,43.02,86,28,2.0,2.33,0,1,1,50.00,50.00,1,3.57,-1.00,0.00,0.00,0.00,0.00
psbX,40.00,40.66,93,31,3.0,3.23,1,2,0,100.00,100.00,3,9.68,-0.67,5.75,5.75,2.38,2.38
rbcL,41.94,45.26,981,327,51.0,5.20,23,13,15,70.59,70.59,31,9.48,1.78,2.77,0.82,1.54,0.51
rpl16,45.31,46.30,311,103,5.0,1.61,3,2,0,100.00,100.00,5,4.85,0.00,2.62,2.62,0.00,0.00
rpl2,37.64,44.01,720,240,62.0,8.61,23,31,8,87.10,90.32,52,21.67,-0.27,0.56,0.00,0.84,0.00
rpl22,31.76,38.20,233,77,25.0,10.73,8,12,5,80.00,84.00,20,25.97,0.04,10.57,8.37,3.57,2.68
rpoC1,37.10,39.53,903,301,25.0,2.77,11,7,7,72.00,80.00,18,5.98,1.24,3.01,3.01,0.89,0.89
rps11,38.39,41.26,732,244,32.0,4.37,12,17,3,90.62,90.62,28,11.48,-0.53,1.10,1.10,0.14,0.00
rps12,44.44,47.62,252,84,17.0,6.75,8,6,3,82.35,88.24,14,16.67,0.76,4.88,0.00,0.00,0.00
rps13,41.82,44.85,165,55,5.0,3.03,4,1,0,100.00,100.00,5,9.09,-0.20,0.00,0.00,0.00,0.00
rps19,40.00,41.67,120,40,4.0,3.33,1,1,2,50.00,50.00,2,5.00,2.75,3.51,4.39,0.00,0.00
rps3,35.96,40.07,559,186,39.0,6.98,18,14,7,82.05,94.87,33,17.74,0.46,2.35,2.53,0.00,0.36
rps7,36.84,41.63,627,209,40.0,6.38,16,22,2,95.00,97.50,37,17.70,-0.15,2.90,2.90,0.16,0.16
secA,34.95,37.53,907,302,26.0,2.87,13,12,1,96.15,100.00,26,8.61,0.19,5.33,4.99,2.67,2.45
secY,33.61,37.53,850,283,40.0,4.71,20,17,3,92.50,97.50,35,12.37,0.15,8.29,8.41,4.52,4.52
ycf39,32.33,39.50,795,265,75.0,9.43,39,30,6,92.00,93.33,64,24.15,-0.36,5.07,2.66,3.56,1.53
ycf4,33.73,38.89,252,84,15.0,5.95,5,8,2,86.67,86.67,12,14.29,-0.07,1.63,1.63,0.41,0.82
