gene,1st GC before,1st GC after,2nd GC before,2nd GC after,3rd GC before,3rd GC after,

atpA,48.11,54.92,38.64,44.70,25.86,28.14
atpB,47.46,52.97,38.14,41.10,26.27,27.54
cbbx,47.83,58.00,32.00,44.33,32.33,34.67
chlI,56.33,59.18,38.78,40.41,18.37,19.59
clpC,49.77,53.92,30.88,35.48,26.73,26.73
dnaK5,54.35,61.96,42.86,43.96,24.18,25.27
psaA,43.52,48.15,43.52,49.54,31.48,33.49
psbA,49.55,50.45,43.24,43.24,32.13,38.01
psbC,53.12,56.46,45.42,47.50,27.92,30.21
psbD,50.00,50.00,40.00,40.00,37.50,41.67
psbE,44.83,44.83,55.17,51.72,35.71,32.14
psbX,48.28,50.00,30.00,30.00,41.94,41.94
rbcL,53.21,56.88,41.10,43.12,31.50,35.78
rpl16,50.49,51.92,49.51,50.96,35.92,35.92
rpl2,44.58,51.88,45.42,54.39,22.92,25.83
rpl22,32.05,37.18,38.46,48.72,24.68,28.57
rpoC1,48.17,51.50,36.21,37.87,26.91,29.24
rps11,44.67,49.59,46.72,49.59,23.77,24.59
rps12,58.33,63.10,48.81,52.38,26.19,27.38
rps13,49.09,56.36,52.73,54.55,23.64,23.64
rps19,56.76,55.00,41.03,42.50,23.08,27.50
rps3,49.73,57.75,36.56,37.63,21.51,24.73
rps7,44.50,50.72,39.23,47.37,26.79,26.79
secA,42.57,46.20,34.44,38.08,27.81,28.24
secY,36.04,42.61,38.16,42.40,26.60,27.56
ycf39,36.60,46.79,33.58,42.64,26.79,29.06
ycf4,46.43,50.00,25.93,35.71,28.57,30.95
