gene,num AA changes,num identical before,num identical after,num similar before,num similar after,avgerage edit score diff

atpA,26.0,2,8,8,10,1.38
atpB,20.0,2,2,7,9,0.55
atpF,6.0,2,0,3,3,-0.83
atpH,2.0,2,0,2,1,-4.00
atpI,11.0,2,2,7,6,-0.18
chlI,11.0,1,3,3,4,2.27
clpC,14.0,4,0,6,5,-0.86
groEL,17.0,2,9,10,12,1.59
petA,44.0,4,11,15,19,1.05
petB,30.0,2,10,14,15,0.57
petD,29.0,3,10,9,15,1.41
psaA,20.0,3,4,11,5,-0.85
psaB,11.0,2,2,3,4,0.27
psaFJ,12.0,2,4,3,7,2.42
psbA,2.0,0,2,2,2,1.50
psbB,20.0,3,7,7,10,0.90
psbC,4.0,0,4,1,4,5.25
psbD,29.0,24,3,28,9,-5.07
psbE,9.0,0,3,3,5,1.78
psbF,0.0,0,0,0,0,0.00
psbH,12.0,1,6,4,8,2.50
psbI,6.0,1,0,1,0,0.17
psbL,3.0,0,0,1,0,-1.33
psbN,2.0,0,1,0,1,3.00
psbT,5.0,0,2,4,4,0.60
psbV,9.0,1,2,4,5,1.00
rpl14,13.0,4,5,9,7,-0.08
rpl16,13.0,2,5,6,10,2.54
rpl19,9.0,0,2,3,3,0.33
rpl20,5.0,1,2,1,3,2.00
rpl27,6.0,1,1,2,3,0.50
rpl31,11.0,2,2,7,6,-0.82
rpl33,1.0,0,1,1,1,4.00
rpl36,6.0,1,2,1,3,2.00
rpl3,14.0,2,5,4,8,1.86
rpl5,20.0,5,3,8,11,0.15
rpl6,12.0,2,6,5,7,1.83
rpoA,15.0,2,2,4,4,-0.47
rpoB,7.0,0,3,2,3,1.57
rpoC1,18.0,4,0,7,3,-2.11
rpoC2,21.0,4,4,8,8,0.10
rps11,3.0,1,0,1,1,-1.33
rps12,3.0,1,2,1,2,1.00
rps13,17.0,3,5,9,9,0.53
rps14,2.0,1,0,1,0,-4.00
rps16,6.0,1,1,2,2,0.17
rps19,5.0,2,1,3,3,-1.60
rps2,39.0,3,7,9,15,1.00
rps3,22.0,3,2,11,5,-0.59
rps4,16.0,0,3,3,7,1.31
rps5,15.0,4,3,5,9,0.87
rps7,10.0,2,1,3,3,-0.40
rps8,8.0,1,2,4,5,0.62
rps9,3.0,0,0,1,0,-1.00
secY,35.0,3,6,10,12,0.94
tufA,23.0,6,4,11,9,-0.61
ycf39,19.0,1,1,3,5,0.16
ycf3,12.0,3,4,6,7,0.58
ycf4,30.0,6,8,13,12,0.13
