,gene,num AA changes,num identical before,num identical after,num similar before,num similar after,avgerage edit score diff
Pl_Ac,atpA,43.0,1,10,9,20,1.47
Pl_Ac,atpB,78.0,10,17,29,33,0.67
Pl_Ac,petB,27.0,1,12,9,15,2.37
Pl_Ac,petD,23.0,0,8,5,11,2.61
Pl_Ac,psaB,89.0,11,27,32,44,1.24
Pl_Ac,psbA,23.0,4,12,7,13,2.48
Pl_Ac,psbB,62.0,4,24,22,39,1.77
Pl_Ac,psbC,36.0,3,16,18,24,1.14
Pl_Ac,psbD,17.0,0,9,5,13,2.29
Pl_Ac,psbE,3.0,0,2,2,2,2.67
Pl_Ct,atpA,47.0,6,5,11,16,0.55
Pl_Ct,atpB,60.0,5,15,19,27,1.47
Pl_Ct,petB,26.0,2,10,9,14,1.88
Pl_Ct,petD,23.0,0,7,4,10,2.57
Pl_Ct,psaA,120.0,10,32,41,65,1.39
Pl_Ct,psaB,103.0,10,35,33,50,1.63
Pl_Ct,psbA,23.0,3,8,6,13,2.22
Pl_Ct,psbB,62.0,4,24,18,31,1.79
Pl_Ct,psbC,36.0,3,16,17,25,1.42
Pl_Ct,psbD,16.0,0,7,4,10,1.75
Pl_Ct,psbE,3.0,0,0,0,0,1.00
Pl_Eh,atpA,47.0,6,9,14,21,0.96
Pl_Eh,atpB,61.0,4,15,20,25,1.44
Pl_Eh,petB,26.0,2,10,9,14,1.85
Pl_Eh,petD,23.0,0,7,4,8,2.39
Pl_Eh,psaA,121.0,9,33,40,64,1.46
Pl_Eh,psaB,103.0,10,35,33,50,1.63
Pl_Eh,psbA,23.0,3,8,6,13,2.22
Pl_Eh,psbB,62.0,4,22,18,31,1.77
Pl_Eh,psbC,36.0,3,15,17,25,1.31
Pl_Eh,psbD,16.0,0,7,4,10,1.75
Pl_Eh,psbE,3.0,0,0,0,0,1.00
Pl_Pt,atpA,47.0,4,6,14,17,0.96
Pl_Pt,atpB,55.0,3,13,16,21,1.36
Pl_Pt,petB,26.0,3,8,8,13,1.81
Pl_Pt,petD,23.0,1,10,6,11,2.74
Pl_Pt,psaA,119.0,13,28,45,61,0.96
Pl_Pt,psaB,103.0,8,36,34,49,1.67
Pl_Pt,psbA,22.0,4,8,5,14,2.50
Pl_Pt,psbB,62.0,5,22,19,32,1.69
Pl_Pt,psbC,36.0,4,13,15,23,1.31
Pl_Pt,psbD,17.0,0,6,4,11,1.76
Pl_Pt,psbE,3.0,0,1,1,1,1.67
Pl_Vb,atpA,46.0,2,9,12,19,1.26
Pl_Vb,atpB,85.0,5,15,27,25,0.66
Pl_Vb,petB,9.0,1,2,4,4,1.00
Pl_Vb,petD,23.0,1,9,6,11,2.57
Pl_Vb,psaA,121.0,13,29,40,61,1.09
Pl_Vb,psaB,107.0,7,34,33,51,1.49
Pl_Vb,psbA,23.0,2,11,7,13,2.48
Pl_Vb,psbB,62.0,4,24,22,33,1.47
Pl_Vb,psbC,34.0,7,11,18,22,0.29
Pl_Vb,psbD,18.0,1,7,4,11,1.89
Pl_Vb,psbE,3.0,0,0,1,1,0.33
