alignment position,genomic position,edited or not,positional entropy,average score difference
8,1,0,0.95,0
9,2,0,0.89,0
10,3,0,0.95,0
11,4,0,0.89,0
12,5,0,1.00,0
13,6,0,1.00,0
14,7,1,0.91,7.26
15,8,0,1.00,0
16,9,0,0.76,0
17,10,0,0.95,0
18,11,0,1.00,0
19,12,1,0.80,3.78
20,13,0,0.95,0
21,14,0,0.95,0
22,15,0,0.68,0
23,16,0,1.00,0
24,17,0,1.00,0
25,18,0,1.00,0
26,19,0,0.73,0
27,20,0,1.00,0
28,21,0,1.00,0
29,22,0,0.81,0
30,23,0,0.88,0
31,24,0,1.00,0
32,25,0,0.95,0
33,26,0,1.00,0
34,27,0,0.80,0
35,28,0,1.00,0
36,29,0,1.00,0
37,30,1,0.70,-0.11
38,31,0,0.78,0
39,32,0,1.00,0
40,33,0,0.83,0
41,34,0,0.91,0
42,35,0,1.00,0
43,36,1,0.76,2.67
44,37,0,0.81,0
45,38,0,0.95,0
46,39,0,1.00,0
47,40,0,1.00,0
48,41,0,0.95,0
49,42,0,1.00,0
50,43,0,0.95,0
51,44,0,0.71,0
52,45,0,1.00,0
53,46,0,1.00,0
54,47,0,0.86,0
55,48,0,1.00,0
56,49,0,0.95,0
57,50,0,0.91,0
58,51,0,0.84,0
60,52,0,0.95,0
61,53,0,1.00,0
63,54,0,0.66,0
64,55,0,0.73,0
65,56,0,1.00,0
66,57,0,0.84,0
67,58,0,0.80,0
68,59,0,0.69,0
69,60,0,0.95,0
70,61,0,0.91,0
71,62,1,0.77,0.48
72,63,1,0.83,5.26
73,64,0,0.84,0
74,65,0,1.00,0
75,66,0,0.95,0
76,67,0,0.69,0
77,68,1,0.76,0.96
78,69,0,0.76,0
79,70,0,0.71,0
80,71,0,0.82,0
81,72,0,0.86,0
82,73,0,0.77,0
83,74,0,0.82,0
84,75,0,0.80,0
