gene,GC before,GC after,nucleotide length,amino acid length,number edits,percent edits,first position edits,second position edits,third position edits,percent edits in first two positions,percent non-synonymous edits,number amino acid edits,percent amino acid edits,average edit score,fraction polyT before,fraction polyT after,fraction 70 percent polyT before,fraction 70 percent polyT after,

atpA,39.17,39.58,1445,481,6.0,0.42,2,3,1,83.33,100.00,6,1.25,0.83,2.02,2.02,1.04,1.04
petB,37.48,37.63,659,219,1.0,0.15,0,1,0,100.00,100.00,1,0.46,0.00,2.45,2.45,2.31,2.31
petD,34.87,35.71,476,158,5.0,1.05,4,1,0,100.00,100.00,5,3.16,1.00,5.11,5.11,0.64,0.64
psaA,40.01,40.06,1967,655,4.0,0.20,1,1,2,50.00,50.00,1,0.15,2.25,1.02,1.02,1.28,1.23
psaB,39.45,39.45,2048,682,0.0,0.00,0,0,0,0.00,0.00,0,0.00,0.00,1.96,1.96,1.37,1.37
psbA,42.73,42.73,929,309,0.0,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.87,0.87,0.65,0.65
psbB,40.62,40.62,1445,481,0.0,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.56,0.56,0.63,0.63
psbC,41.39,41.61,1382,460,4.0,0.29,2,0,2,50.00,75.00,3,0.65,1.75,1.74,1.74,1.02,1.02
psbD,41.19,41.38,1073,357,2.0,0.19,1,1,0,100.00,100.00,2,0.56,0.00,1.87,1.50,0.85,0.85
psbE,35.02,35.41,257,85,2.0,0.78,0,1,1,50.00,100.00,2,2.35,0.00,6.77,6.77,2.02,2.02
