gene,1st GC before,1st GC after,2nd GC before,2nd GC after,3rd GC before,3rd GC after,

atpA,45.42,49.68,38.38,42.86,15.78,16.20
atpB,38.02,45.21,36.10,42.65,23.16,22.20
petB,40.45,46.82,34.55,39.55,21.82,21.82
petD,41.51,45.91,33.33,42.14,17.61,18.87
psaA,39.43,43.51,37.00,42.23,20.40,21.54
psaB,37.57,42.14,38.14,43.00,20.14,21.14
psbA,40.00,43.10,40.29,42.32,17.97,19.71
psbB,39.87,43.22,40.92,45.09,20.04,21.50
psbC,41.00,42.08,47.51,49.24,17.57,17.57
psbD,42.67,44.53,42.13,43.20,19.47,19.73
psbE,35.62,36.99,43.84,45.21,23.29,26.03
